,gam_id,temp,sex,inf_status,geo_order,photo_order,geo_score,photo_score
572,jU145,6,f,U,,,12,70
574,jU145,12,f,U,1,1,11,80
575,jU146,3,m,U,,,16,80
576,jU146,6,m,U,1,1,10,20
577,jU146,9,m,U,,,10,50
578,jU146,12,m,U,,,14,50
579,jU147,3,f,U,,,10,#N/A
580,jU147,6,f,U,1,1,15,30
581,jU147,9,f,U,,,10,60
582,jU147,12,f,U,,,14,90
583,jU148,6,f,U,,,15,70
584,jU148,9,f,U,,,10,#N/A
585,jU148,12,f,U,1,1,10,20
586,jU149,6,m,U,1,1,11,60
587,jU149,9,m,U,,,10,80
588,jU149,12,m,U,,,10,40
590,jU150,9,f,U,,,#N/A,50
589,jU150,6,f,U,1,1,31,90
591,jU150,12,f,U,,,15,60
592,jU76,3,m,U,,,21,40
593,jU76,6,m,U,,,12,0
594,jU76,9,m,U,,,15,60
595,jU76,12,m,U,,,37,60
596,jU76,15,m,U,1,1,14,50
597,jU76,18,m,U,,,24,0
602,jU77,15,m,U,,,#N/A,60
598,jU77,3,m,U,,,14,60
599,jU77,6,m,U,1,1,20,10
600,jU77,9,m,U,,,14,80
601,jU77,12,m,U,,,15,40
603,jU78,3,f,U,,,17,70
604,jU78,6,f,U,,,14,70
605,jU78,9,f,U,1,1,23,60
606,jU78,12,f,U,,,17,100
607,jU78,15,f,U,,,26,70
608,jU78,18,f,U,,,10,50
610,jU79,9,f,U,,,#N/A,0
609,jU79,6,f,U,1,1,10,40
611,jU79,12,f,U,,,10,10
612,jU80,3,f,U,,,20,60
613,jU80,6,f,U,,,16,40
614,jU80,9,f,U,,,12,70
615,jU80,12,f,U,,,16,30
616,jU80,15,f,U,1,1,17,70
617,jU81,6,f,U,1,1,10,0
618,jU81,12,f,U,,,10,#N/A
620,jU82,9,f,U,,,#N/A,0
619,jU82,6,f,U,1,1,30,0
621,jU82,12,f,U,,,14,60
626,jU83,15,f,U,,,#N/A,0
627,jU83,18,f,U,,,#N/A,0
622,jU83,3,f,U,1,1,10,0
623,jU83,6,f,U,,,10,70
624,jU83,9,f,U,,,22,40
625,jU83,12,f,U,,,11,40
628,jU84,3,m,U,,,10,70
629,jU84,6,m,U,1,1,16,30
630,jU84,9,m,U,,,20,60
631,jU84,12,m,U,,,13,20
632,jU84,15,m,U,,,12,20
633,jU84,18,m,U,,,10,0
638,jU86,15,m,U,,,#N/A,60
634,jU86,3,m,U,1,1,11,50
635,jU86,6,m,U,,,18,60
636,jU86,9,m,U,,,17,40
637,jU86,12,m,U,,,12,70
639,jU87,6,m,U,1,1,25,40
640,jU87,12,m,U,,,15,0
641,jU88,3,m,U,,,10,50
642,jU88,6,m,U,,,28,80
643,jU88,9,m,U,,,14,30
644,jU88,12,m,U,1,1,18,50
645,jU88,15,m,U,,,13,60
646,jU88,18,m,U,,,14,90
647,jU89,6,f,U,,,10,50
648,jU90,6,f,U,,,15,70
649,jU90,9,f,U,,,19,70
650,jU90,12,f,U,1,1,13,60
652,jU91,9,f,U,,,#N/A,20
651,jU91,6,f,U,,,42,70
653,jU91,12,f,U,1,1,39,60
655,jU92,12,f,U,,,#N/A,80
654,jU92,6,f,U,,,10,60
657,jU93,12,f,U,1,1,#N/A,0
656,jU93,6,f,U,1,1,10,100
658,jU94,3,m,U,1,1,19,40
659,jU94,6,m,U,,,15,50
660,jU94,9,m,U,,,27,90
661,jU94,12,m,U,,,13,20
662,jU94,15,m,U,,,10,60
664,jU95,12,f,U,,,#N/A,100
663,jU95,6,f,U,1,1,10,10
665,jU96,3,f,U,,,#N/A,0
666,jU96,6,f,U,,,28,50
667,jU96,9,f,U,1,1,10,40
668,jU96,12,f,U,,,13,70
670,jU97,9,m,U,,,#N/A,0
669,jU97,6,m,U,,,14,50
671,jU97,12,m,U,1,1,47,50
672,jU98,3,f,U,,,27,#N/A
673,jU98,6,f,U,1,1,19,30
674,jU98,9,f,U,,,21,0
675,jU98,12,f,U,,,10,60
677,jU99,12,m,U,,,#N/A,70
676,jU99,6,m,U,1,1,10,90
678,mI1,3,f,I,,,10,10
679,mI1,6,f,I,1,1,10,40
680,mI10,3,f,I,,,41,40
681,mI10,6,f,I,1,1,10,70
682,mI101,3,f,I,,,10,40
684,mI101,6,f,I,,,10,0
685,mI101,9,f,I,,,31,50
686,mI101,12,f,I,,,10,0
690,mI101,15,f,I,1,1,14,70
691,mI101,18,f,I,,,28,40
694,mI102,12,m,I,,,#N/A,60
692,mI102,3,m,I,1,1,10,50
693,mI102,6,m,I,,,10,90
695,mI103,3,m,I,,,10,60
696,mI103,6,m,I,1,1,11,50
699,mI104,12,m,I,,,#N/A,100
697,mI104,3,m,I,,,19,30
698,mI104,6,m,I,,,26,20
701,mI104,15,m,I,,,49,60
702,mI104,18,m,I,1,1,54,100
703,mI105,3,f,I,,,10,10
704,mI105,6,f,I,,,15,20
705,mI105,9,f,I,,,29,60
706,mI105,12,f,I,,,10,30
710,mI105,15,f,I,1,1,12,40
711,mI105,18,f,I,,,10,30
714,mI106,12,f,I,,,#N/A,100
712,mI106,3,f,I,1,1,10,0
713,mI106,6,f,I,,,10,10
716,mI106,15,f,I,,,10,70
717,mI106,18,f,I,,,13,50
719,mI107,6,m,I,,,#N/A,20
718,mI107,3,m,I,1,1,10,50
720,mI108,3,m,I,,,29,90
